Date,ADJ_DCO2_CD - Value,ADJ_DFOR_CD - Value,AGR_TOTL_CD - Value,AGR_TOTL_CN - Value,AGR_TOTL_KD - Value,AGR_TOTL_KN - Value,AGR_TRAC_NO - Value,ATM_CO2E_KT - Value,ATM_CO2E_PC - Value,CO2E_GF_KT - Value,CO2E_KD_GD - Value,CO2E_LF_KT - Value,CO2E_SF_KT - Value,CO2_BLDG_MT - Value,CO2_ETOT_MT - Value,CO2_MANF_MT - Value,CO2_OTHX_MT - Value,CO2_TRAN_MT - Value,EN_POP_DNST - Value,EN_URB_LCTY - Value,EN_URB_MCTY - Value,GHGO_KT_CE - Value
1960-12-31,,,,,,,,3168695.037,81.2341493019,652095.276,4.10582770774,1437199.976,1011538.283,632.13,823.78,849.84,57.46,727.73,,19253753.0,77850088.0,
1961-12-31,,,,,,,5522554.0,3164118.621,81.6026751289,659920.654,3.99966948463,1460646.774,976096.728,645.75,840.63,830.81,57.38,743.93,582.386528096,19573016.0,79493983.0,
1962-12-31,,,,,,,5588091.0,3294223.781,83.9308351679,702919.896,3.98905815025,1514459.999,1012381.693,680.5,889.12,851.22,58.0,778.22,594.197532804,19888779.0,81163157.0,
1963-12-31,,,,,,,5640902.0,3440045.703,85.5450581442,741427.063,3.9418740842,1556956.862,1078189.675,686.82,956.89,902.68,56.6,810.89,605.745419003,20210207.0,82878928.0,
1964-12-31,,,,,,,5700486.0,3607880.626,90.180504846,793879.831,3.95807891851,1607495.456,1143033.236,690.31,990.82,959.25,53.54,844.6,616.592053665,20537876.0,84645459.0,
1965-12-31,,,,,,,5742965.0,3760130.799,90.7621762167,821312.658,3.91547593631,1692599.192,1183513.249,718.09,1079.52,1001.71,54.86,868.6,626.485766523,20870536.0,86457100.0,
1966-12-31,,,,,,,6438131.0,3949149.981,92.0800161659,885364.147,3.85926664377,1773027.503,1223289.198,746.35,1161.98,1054.53,53.66,912.28,636.133710641,21193280.0,88306231.0,
1967-12-31,,,,,,,6431142.0,4106346.937,92.6669626059,927116.609,3.83569612754,1851567.309,1255657.807,777.46,1146.71,1150.52,50.95,955.51,645.939317699,21500166.0,90181192.0,
1968-12-31,,,,,,,6383860.0,4275479.978,98.8063722842,992730.24,3.93120191945,1969993.074,1236670.081,803.76,1259.02,1177.43,54.26,1032.5,655.072319746,21812591.0,92111833.0,
1969-12-31,,,,,,,6314263.0,4483578.561,104.009481723,1077305.928,3.90899726396,2075510.999,1253211.918,838.78,1361.39,1158.55,54.97,1081.61,663.159810598,22129346.0,94091947.0,
