Date,ADJ_DCO2_CD - Value,ADJ_DFOR_CD - Value,AGR_TOTL_CD - Value,AGR_TOTL_CN - Value,AGR_TOTL_KD - Value,AGR_TOTL_KN - Value,AGR_TRAC_NO - Value,ATM_CO2E_KT - Value,ATM_CO2E_PC - Value,CO2E_GF_KT - Value,CO2E_KD_GD - Value,CO2E_LF_KT - Value,CO2E_SF_KT - Value,CO2_BLDG_MT - Value,CO2_ETOT_MT - Value,CO2_MANF_MT - Value,CO2_OTHX_MT - Value,CO2_TRAN_MT - Value,EN_POP_DNST - Value,EN_URB_LCTY - Value,EN_URB_MCTY - Value,GHGO_KT_CE - Value
1960-12-31,,,613800632.307,83910593716.0,,,,8962.148,1.62226815968,0.0,1.58029615153,7554.02,1276.116,,,,,,,2471635.0,3100009.0,
1961-12-31,,,653829664.167,88970990884.0,,,22129.0,7539.352,1.22910682491,0.0,0.989083860922,6127.557,1312.786,,,,,,346.621817442,2630482.0,3277648.0,
1962-12-31,,,709195886.577,1.00019698284e+11,,,22796.0,9145.498,1.59663046759,0.0,1.19525647145,7759.372,1228.445,,,,,,353.48946781,2800286.0,3471433.0,
1963-12-31,,,751734953.753,1.05846838812e+11,,,22507.0,8621.117,1.53638975368,0.0,1.39211046735,7238.658,1169.773,,,,,,360.625233796,2976980.0,3670735.0,
1964-12-31,,,962697055.165,1.07402752152e+11,225714680.103,7.33750904e+11,22641.0,13109.525,2.79373149384,0.0,2.97432608645,8591.781,4198.715,,,,,,368.149866072,3179181.0,3888591.0,
1965-12-31,,,1857913030.83,1.130490329e+11,1090804549.78,9.724449774e+11,23393.0,15207.049,3.09662150418,0.0,2.98794324189,9765.221,5045.792,,,,,,376.138160693,3400570.0,4124892.0,
1966-12-31,,,2276211352.38,1.26829593364e+11,1121245336.36,9.964205763e+11,24330.0,14972.361,2.94544923754,0.0,3.03665962633,10051.247,4462.739,,,,,,384.64171325,3639193.0,4379792.0,
1967-12-31,,,2056827023.64,1.27955899068e+11,1350460154.43,1.04122434e+12,25247.0,16787.526,3.20288146168,260.357,3.14585612188,10733.309,5225.475,,,,,,393.604585023,3893520.0,4656789.0,
1968-12-31,,,2131578711.68,1.22297112e+11,3237326226.59,1.9401055252e+12,26076.0,27198.139,4.85697532517,348.365,3.55309655654,21602.297,4613.086,,,,,,402.862788026,4160158.0,4968036.0,
1969-12-31,,,2191058339.76,1.21219771764e+11,3269973902.64,1.9647730047e+12,26305.0,21110.919,4.08370625691,0.0,4.41028436724,16105.464,4308.725,,,,,,412.18768942,4436190.0,5301000.0,
1970-12-31,24566405.1147,220847716.062,2246728795.9,1.45397685464e+11,3887397354.88,2.0813958718e+12,27144.0,18404.673,3.62609027715,216.353,4.26778214605,13377.216,3846.683,,,,,,421.418459284,4720448.0,5645990.0,1553708.6206
1971-12-31,27475358.9598,206197833.371,2410308305.15,1.55166554168e+11,4038344118.05,2.18354532348e+12,27388.0,19361.76,3.58377863461,440.04,4.20664094881,14191.29,3604.661,0.63,1.47,3.82,1.13,2.92,430.533133589,5023024.0,6000254.0,935157.3493
1972-12-31,27469215.8156,243062981.998,2669320298.49,1.470649789e+11,4098896124.43,2.16634176045e+12,25744.0,18338.667,3.40677226352,300.694,4.09972424563,13201.2,3593.66,0.69,1.5,4.09,1.17,3.38,439.599449845,5358408.0,6390218.0,990983.381
1973-12-31,34419749.7713,436047929.041,3287695780.2,1.62287079932e+11,4189197973.28,2.24312165728e+12,25177.0,21539.958,3.70191960969,333.697,4.26090455325,16483.165,3578.992,0.78,1.55,4.31,1.24,3.82,448.662524796,5725343.0,6815920.0,1051256.9224
1974-12-31,36259830.6922,487644691.31,3958751224.97,2.03999687332e+11,4319697834.79,2.25227165894e+12,24702.0,20579.204,3.58063829326,399.703,4.12135125101,15529.745,3307.634,0.78,1.54,4.23,1.27,3.79,457.799302563,6112266.0,7274255.0,927396.1873
1975-12-31,39776371.9177,651625567.257,4498786715.81,1.65874107404e+11,4352054535.43,2.29854646483e+12,24452.0,20421.523,3.42461401177,476.71,4.15035878451,15493.075,3171.955,0.9,1.56,4.16,1.2,3.56,467.09224325,6514847.0,7758421.0,1077085.3357
1976-12-31,42544338.1406,639151868.44,5031938248.27,1.76862735872e+11,4493228868.29,2.40096546609e+12,24072.0,20465.527,3.24679758154,300.694,3.71162683473,15559.081,3329.636,0.77,1.56,4.25,1.17,4.07,476.56159652,6926547.0,8263544.0,959170.5906
1977-12-31,45804286.743,877443276.046,6045617922.26,2.30338301024e+11,4550143774.75,2.51938154728e+12,23518.0,20505.864,3.22971918021,513.38,3.74697032776,15625.087,3135.285,0.85,1.47,3.91,1.36,3.87,486.270036207,7365708.0,8802356.0,1094500.9489
1978-12-31,50660730.3327,870348280.726,7847223132.5,2.8028635282e+11,4564436242.63,2.69516021548e+12,23583.0,20945.904,3.17424385854,300.694,3.83694569441,16618.844,3021.608,0.96,1.46,3.9,1.42,4.06,496.400723857,7826665.0,9373654.0,1151823.0171
